Time,axis0_aileron,axis1_elevator,axis2_throttle_all,axis3_rudder,indicated-altitude-ft,indicated-speed-kt,indicated-speed-fpm,indicated-track-magnetic-deg,indicated-heading-deg,airspeed-kt,groundspeed-kt,altitude-agl-ft,altitude-ft,latitude-deg,longitude-deg,balloon-lat,balloon-lon,balloon-alt,balloon-level,balloon-hit,balloons-count,balloon-scoring-closest-ft
1.68333,0,0,0,0,15.36980543,7.284773794,-899.5494655,350.4941258,289.0825514,2.775463232,6.733368845e-05,5.169946444,35.16062304,19.72137998,-155.0578101,,,,,,,
1.68333,0,0,0,0,15.36980543,7.284773794,-899.5494655,350.4941258,289.0825514,2.775463232,6.733368845e-05,5.169946444,35.16062304,19.72137998,-155.0578101,,,,,,,
1.70833,0,0,0,0,14.74494782,7.285759627,-920.0293991,350.4941258,291.1281881,2.768810917,6.967061477e-05,5.169945852,35.16062339,19.72137998,-155.0578101,,,,,,,
1.73333,0,0,0,0,14.10761385,7.318676934,-940.0587771,350.4941258,293.3416823,2.762182076,7.068991502e-05,5.169946005,35.1606237,19.72137998,-155.0578101,,,,,,,
1.75833,0,0,0,0,13.45903649,7.353102538,-959.5494653,350.4941258,295.7304445,2.755576719,7.063102944e-05,5.169946175,35.16062404,19.72137998,-155.0578101,,,,,,,
1.78333,0,0,0,0,12.80054072,7.382132599,-978.4508616,350.4941258,298.3013523,2.748994984,7.015604214e-05,5.169945532,35.16062436,19.72137998,-155.0578101,,,,,,,
1.78333,0,0,0,0,12.80054072,7.382132599,-978.4508616,350.4941258,298.3013523,2.748994984,7.015604214e-05,5.169945532,35.16062436,19.72137998,-155.0578101,,,,,,,
1.80833,0,0,0,0,12.1334361,7.405161347,-996.7384521,350.4941258,301.0605954,2.742437188,6.85109226e-05,5.169945674,35.16062468,19.72137998,-155.0578101,,,,,,,
1.83333,0,0,0,0,11.45895397,7.423058218,-1014.405627,350.4941258,304.0135077,2.735903372,6.622414297e-05,5.169945835,35.16062504,19.72137998,-155.0578101,,,,,,,
1.85833,0,0,0,0,10.77821426,7.436867621,-1031.457863,350.4941258,307.1643864,2.72939377,6.334546394e-05,5.169945996,35.16062538,19.72137998,-155.0578101,,,,,,,
1.875,0,0,0,0,10.09221168,7.44749671,-1047.90859,350.4941258,310.5163019,2.722908494,5.987690679e-05,5.169946153,35.16062573,19.72137998,-155.0578101,,,,,,,
1.90833,0,0,0,0,9.63585289,7.406051987,-1057.504267,350.4941258,312.8634765,2.718598587,5.753486011e-05,5.169946252,35.16062597,19.72137998,-155.0578101,,,,,,,
1.90833,0,0,0,0,9.63585289,7.406051987,-1057.504267,350.4941258,312.8634765,2.718598587,5.753486011e-05,5.169946252,35.16062597,19.72137998,-155.0578101,,,,,,,
1.93333,0,0,0,0,8.704761453,7.504144119,-1080.195912,350.4941258,317.8281948,2.710011675,5.283807751e-05,5.169946501,35.16062648,19.72137998,-155.0578101,,,,,,,
1.95,0,0,0,0,8.004757418,7.462499677,-1094.670326,350.4941258,321.7863737,2.703600517,4.914192788e-05,5.16994591,35.16062687,19.72137998,-155.0578101,,,,,,,
1.98333,0,0,0,0,7.541026894,7.409771678,-1103.069969,350.4941258,324.5349519,2.699340309,4.665051052e-05,5.169946815,35.16062712,19.72137998,-155.0578101,,,,,,,
1.98333,0,0,0,0,7.541026894,7.409771678,-1103.069969,350.4941258,324.5349519,2.699340309,4.665051052e-05,5.169946815,35.16062712,19.72137998,-155.0578101,,,,,,,
2.00833,0,0,0,0,6.598759748,7.501892087,-1123.367309,350.4941258,330.2877829,2.69085356,4.146059467e-05,5.169947082,35.16062766,19.72137998,-155.0578101,,,,,,,
2.03333,0,0,0,0,5.892738356,7.459862176,-1136.255267,350.4941258,334.8164992,2.684518214,3.755414739e-05,5.16994729,35.16062808,19.72137998,-155.0578101,,,,,,,
2.05833,0,0,0,0,5.187233192,7.454360702,-1148.796395,350.4941258,339.5167557,2.678208466,3.38814373e-05,5.169949072,35.1606285,19.72137998,-155.0578101,,,,,,,
2.08333,0,0,0,0,4.481790984,7.457810796,-1160.987997,350.4941258,344.3749239,2.671924466,3.037193038e-05,5.169949299,35.16062891,19.72137998,-155.0578101,,,,,,,
2.08333,0,0,0,0,4.481790984,7.457810796,-1160.987997,350.4941258,344.3749239,2.671924466,3.037193038e-05,5.169949299,35.16062891,19.72137998,-155.0578101,,,,,,,
2.10833,0,0,0,0,3.776139462,7.462661524,-1172.832203,350.4941258,349.3746621,2.665666537,2.695172877e-05,5.169949536,35.16062936,19.72137998,-155.0578101,,,,,,,
2.13333,0,0,0,0,3.070128111,7.467018122,-1184.334486,350.4941258,354.4968975,2.659434681,2.377988343e-05,5.169949002,35.16062981,19.72137998,-155.0578101,,,,,,,
2.15833,0,0,0,0,2.3636866,7.47054414,-1195.502583,350.4941258,359.719869,2.653229197,2.089869439e-05,5.169949277,35.16063028,19.72137998,-155.0578101,,,,,,,
2.18333,0,0,0,0,1.656795881,7.473301799,-1206.3457,350.4941258,5.019238435,2.64705039,1.818394415e-05,5.169948783,35.16063076,19.72137998,-155.0578101,,,,,,,
2.18333,0,0,0,0,1.656795881,7.473301799,-1206.3457,350.4941258,5.019238435,2.64705039,1.818394415e-05,5.169948783,35.16063076,19.72137998,-155.0578101,,,,,,,
2.20833,0,0,0,0,0.9519737905,7.475430954,-1216.873934,350.4941258,10.36827699,2.640898252,1.567136646e-05,5.169950655,35.16063127,19.72137998,-155.0578101,,,,,,,
2.24167,0,0,0,0,0.2537596673,7.477065526,-1227.097859,350.4941258,15.73813302,2.634773102,1.324513045e-05,5.169950996,35.1606318,19.72137998,-155.0578101,,,,,,,
2.24167,0,0,0,0,0.2537596673,7.477065526,-1227.097859,350.4941258,15.73813302,2.634773102,1.324513045e-05,5.169950996,35.1606318,19.72137998,-155.0578101,,,,,,,
2.26667,0,0,0,0,-0.6786351361,7.513565117,-1241.849586,350.4941258,22.87719288,2.62664843,1.078636101e-05,5.169951464,35.16063253,19.72137998,-155.0578101,,,,,,,
2.29167,0,0,0,0,-1.370455196,7.462442467,-1250.995332,350.4941258,28.17429612,2.620586901,9.155936393e-06,5.169951822,35.16063306,19.72137998,-155.0578101,,,,,,,
2.31667,0,0,0,0,-2.057421013,7.454445049,-1259.970263,350.4941258,33.38584483,2.614552937,7.753954211e-06,5.169951405,35.16063362,19.72137998,-155.0578101,,,,,,,
2.34167,0,0,0,0,-2.740972334,7.457262692,-1268.761253,350.4941258,38.47889031,2.608546743,6.520276956e-06,5.169952561,35.16063418,19.72137998,-155.0578101,,,,,,,
2.34167,0,0,0,0,-2.740972334,7.457262692,-1268.761253,350.4941258,38.47889031,2.608546743,6.520276956e-06,5.169952561,35.16063418,19.72137998,-155.0578101,,,,,,,
2.375,0,0,0,0,-3.422143602,7.461994536,-1277.360368,350.4941258,43.42112648,2.602568684,5.400902385e-06,5.169952929,35.16063473,19.72137998,-155.0578101,,,,,,,
2.4,0,0,0,0,-4.337048135,7.502599549,-1290.037798,350.4941258,49.72295207,2.594641884,3.979032183e-06,5.169953438,35.16063547,19.72137998,-155.0578101,,,,,,,
2.43333,0,0,0,0,-5.018820837,7.453834801,-1297.786087,350.4941258,54.19655882,2.588729903,3.130912558e-06,5.169953828,35.16063604,19.72137998,-155.0578101,,,,,,,
2.43333,0,0,0,0,-5.018820837,7.453834801,-1297.786087,350.4941258,54.19655882,2.588729903,3.130912558e-06,5.169953828,35.16063604,19.72137998,-155.0578101,,,,,,,
2.45833,0,0,0,0,-5.932811909,7.483755417,-1309.448838,350.4941258,59.7767693,2.58089222,2.290916157e-06,5.169954348,35.16063679,19.72137998,-155.0578101,,,,,,,
2.48333,0,0,0,0,-6.613224959,7.436862608,-1316.543311,350.4941258,63.64658737,2.575047538,1.900272165e-06,5.169953946,35.16063735,19.72137998,-155.0578101,,,,,,,
2.48333,0,0,0,0,-6.613224959,7.436862608,-1316.543311,350.4941258,63.64658737,2.575047538,1.900272165e-06,5.169953946,35.16063735,19.72137998,-155.0578101,,,,,,,
2.50833,0,0,0,0,-7.290590924,7.433954874,-1323.590335,350.4941258,67.22823094,2.569232194,2.17102004e-06,5.169953546,35.16063791,19.72137998,-155.0578101,,,,,,,
2.53333,0,0,0,0,-7.966121471,7.44120816,-1330.561058,350.4941258,70.51073962,2.563446054,2.487979212e-06,5.169957054,35.16063847,19.72137998,-155.0578101,,,,,,,
2.55833,0,0,0,0,-8.640632375,7.449498231,-1337.434771,350.4941258,73.48817828,2.557689508,2.944764644e-06,5.169957433,35.16063902,19.72137998,-155.0578101,,,,,,,
2.58333,0,0,0,0,-9.314661474,7.456644919,-1344.19693,350.4941258,76.15973087,2.55196261,3.255452323e-06,5.169957032,35.16063958,19.72137998,-155.0578101,,,,,,,
2.58333,0,0,0,0,-9.314661474,7.456644919,-1344.19693,350.4941258,76.15973087,2.55196261,3.255452323e-06,5.169957032,35.16063958,19.72137998,-155.0578101,,,,,,,
2.60833,0,0,0,0,-9.988553321,7.462356424,-1350.837648,350.4941258,78.52961679,2.546265789,3.786357884e-06,5.169956611,35.1606401,19.72137998,-155.0578101,,,,,,,
2.63333,0,0,0,0,-10.66251961,7.466804734,-1357.350536,350.4941258,80.60682746,2.540599123,4.199091558e-06,5.169956969,35.16064063,19.72137998,-155.0578101,,,,,,,
2.65833,0,0,0,0,-11.33668202,7.470235411,-1363.731828,350.4941258,82.40469118,2.534962754,4.522430211e-06,5.169957334,35.16064117,19.72137998,-155.0578101,,,,,,,
2.68333,0,0,0,0,-12.01110244,7.472869768,-1369.979715,350.4941258,83.94028498,2.529356954,4.902902003e-06,5.169957689,35.16064171,19.72137998,-155.0578101,,,,,,,
2.68333,0,0,0,0,-12.01110244,7.472869768,-1369.979715,350.4941258,83.94028498,2.529356954,4.902902003e-06,5.169957689,35.16064171,19.72137998,-155.0578101,,,,,,,
2.70833,0,0,0,0,-12.68580398,7.474887316,-1376.093832,350.4941258,85.23372226,2.523781941,5.168496122e-06,5.169958059,35.16064225,19.72137998,-155.0578101,,,,,,,
2.73333,-6.127567396e-05,0.0005500486697,0,-1.525902189e-05,-13.36078553,7.47642879,-1382.074878,350.4941258,86.30735324,2.518237239,5.233023978e-06,5.169957651,35.1606428,19.72137998,-155.0578101,,,,,,,
